brand,description,generique,image,model,title,url
asp,Un matriau pour vos projets Vous avez besoin dun matriau durable pour fabriquer des tagres ou amnager votre dressing Ce panneau en bois MDF est llment idal pour mener bien votre projet Dune paisseur de 6 mm il offre une surface de 810 x 405 mm Fabriqu base de fibres de bois de moyenne densit il vous sera utile pour vos ralisations de menuiserie intrieure Rsistant aux carts de temprature il ne prsente pas de risque de dformation sous leffet de son environnement Les lments conus en MDF conservent ainsi leur intgrit mme aprs de nombreuses annes Une prparation soigne Ce panneau en bois MDF est issu de la transformation de particules de bois copeaux et chutes diverses Cette technique de recyclage offre un rel avantage tant au niveau de la qualit des panneaux que de leur apparence La texture fine et laspect homogne imitent divers matriaux et saccompagnent de nombreuses possibilits de finitions En effet le panneau en MDF peut tre laqu ignifug ou encore mlamin Dune manire gnrale il ne doit pas tre mis en contact direct avec leau ou la pluie Si vous envisagez une pose dans une salle de bain il est conseill dappliquer un traitement hydrofuge afin de prserver vos tagres en MDF Matriau Fibres de bois de moyenne densit MDF Dimensions Longueur 810 mm x Largeur 405 mm paisseur 6 mm Usage Finition de peinture menuiserie intrieure Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,,,asp,Panneau bois MDF 810 x 405 mm p 6 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-bois-mdf-810-x-405-mm-ep-6-mm/prod52368/
,Fibres de bois densit moyenne MDF Idal pour les projets de finition de peinture et de menuiserie intrieure Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Panneau bois MDF 1 220 x 610 mm p 9 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-bois-mdf-1-220-x-610-mm-ep-9-mm/prod52365/
asp,Le panneau fibre de bois rsistant et multiusage Ce panneau est fabriqu partir de fibres de bois colles et presses les unes contre les autres Ce procd par voie humide ne ncessite pas dadjonction de colle ce qui fait du panneau fibre de bois Il a fait sa place sur le march de la construction et de lamnagement grce ses nombreux avantages Son paisseur de seulement 3 mm en fait un panneau souple et facile travailler tout en tant trs rsistant Il est utilis pour les fonds de meubles la cration de PLV Publicit sur le Lieu de Vente ou demballages Le panneau fibre de bois conomique et facile travailler Le panneau en fibre de bois a un cot nettement infrieur au bois massif Sa structure lui assure lgret et rsistance et vous permet de le travailler sans effort Vous pouvez le percer le dcouper et le fixer facilement sans risque dclatement Le panneau en fibre de bois laqu blanc offre un rendu brillant qui donne un aspect esthtique toutes vos crations Coloris Blanc Matire Fibre de bois Dimensions Longueur 122 m x Largeur 061 m x paisseur 3 mm Finition Laque Usages Pour fond de meubles emballage et placage de sols Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,,,asp,Panneau de fibre de bois laqu blanc L 122 x l 61 cm x p 3 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-de-fibre-de-bois-laque-blanc-l-122-x-l-61-cm-x-ep-3-mm/prod52361/
,Magntoscope TNT haute dfinition HEVC 1 tuner terrestre 1 entre 1 sortie IEC 952mm1 sortie HDMI 1 prise pritel TV 1 fiche RJ45 1 Afficheur pour le numro de la chane 1 entresortie USB 20 1 sortie audio SPDIF Capacit de plus de 1000 chanes Enregistrement sur support USB externe non fourni Lecture de fichier multimdia Musiques Photos et vido Fonction Timeshift Affichage du menu en plusieurs langues Recherche automatique et manuelle des canaux Sous titrage EPG Guide Electronique des programmes Verrouillage Parentale Mise jour par USB Fonction Timer Compatible Dolby Digital Tlcommande fournie 2 piles 15V incluse,automatique,,,Rcepteur magnto TNT HD DVB T2 HEVC Brico Dpt,https://www.bricodepot.fr/catalogue/recepteur-magneto-tnt-hd-dvb-t2-hevc/prod52305/
,Carrelage de sol intrieur grs crame maill Cottage Wood marron adapt pour les pices dintrieurs telles que la salle de bains et la cuisine Caractristiques Grs crame maill Coloris marron Dimensions l 20 x L 120 cm x p 10 mm Nombre de faces 9 en mlange alatoire Nombre de carreaux dans un paquet 4 Carton 096 m Poids du paquet 23 kg Plinthe assortie 10 x 60 cm 403036 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Cotage Wood marron l 20 x L 120 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-cotage-wood-marron-l-20-x-l-120-cm/prod52296/
,Carrelage sol intrieur modle Cottage Wood grs crame gris adapt pour les pices dintrieurs telles que la salle de bain et la cuisine Polyvalent convient aussi la pose en extrieur Caractristiques Grs crame Coloris gris Dimensions l 20 x L 120 cm x p 10 mm Nombre de faces 8 en mlange alatoire Carton 096 m Nombre de carreaux de carrelages dans un paquet 4 Poids du paquet 23 kg Plinthe carrelage assortie 10 x 60 cm 403034 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Cotage Wood gris l 20 x L 120 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-cotage-wood-gris-l-20-x-l-120-cm/prod52294/
,Carrelage de sol intrieur grs crame maill Arrezo marron 15 x 60 cm paisseur 9 mm Matire grs porcelaine Adapt pour les murs sols et les pices vivre telles que la salle de bains et la cuisine Nombre de carreaux dans un paquet 14 Poids du paquet 2482 kg Plinthe assortie 75 x 30 cm 402995 Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Carrelage de sol intrieur Arrezo marron l 15 x L 60 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-arrezo-marron-l-15-x-l-60-cm/prod52288/
,Carrelage de sol intrieur grs crame maill Arrezo beige adapt pour les comptoirs murs sols ainsi que les pices dintrieurs telles que la salle de bains et la cuisine Caractristiques Grs crame maill Coloris beige Dimensions l 15 x L 60 cm x p 9 mm Nombre de faces 12 en mlange alatoire Nombre de carreaux dans un paquet 14 Poids du paquet 2482 kg Plinthe assortie 75 x 30 cm 402994 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Carrelage de sol intrieur Arrezo beige l 15 x L 60 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-arrezo-beige-l-15-x-l-60-cm/prod52287/
,Carrelage de sol intrieur grs crame maill Arrezo gris adapt pour les pices vivre telles que la salle de bains la cuisine ainsi que les murs Caractristiques Grs crame maill Coloris gris Dimensions l 15 x L 60 cm x p 9 mm Nombre de faces 8 en mlange alatoire Nombre de carreaux par paquet 14 Poids du paquet 2482 kg Plinthe assortie 75 x 30 cm 402993 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Carrelage de sol intrieur Arrezo gris l 15 x L 60 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-arrezo-gris-l-15-x-l-60-cm/prod52286/
asp,Aspirateur lectrique pour piscines hors sol et enterres Nettoie les escaliers et les angles contrairement aux aspirateurs de fond traditionnels Il est muni dun rservoir amovible de grande capacit et dun filtre particules Lger et facile manipuler rechargeable et sans fil fonctionne sur batterie Lithium de 111 V Peut tre utilis avec sa poigne ou bien connect un manche tlescopique,,,asp,Aspirateur lectrique nettoyeur piscine Brico Dpt,https://www.bricodepot.fr/catalogue/aspirateur-electrique-nettoyeur-piscine/prod52244/
,Carrelage sol intrieur modle Konkrete grs crame maill anthracite de dimensions l 307 x L 617 cm adapt pour les pices vivre telles que la salle de bains la cuisine les chambres et toutes utilisations rsidentielles et commerciales Caractristiques Grs crame maill Coloris anthracite Dimensions l 307 x L 617 cm x p 74 mm Carton de carrelage de 152 m hors joint Nombre de faces 4 en mlange alatoire Nombre de carreaux dans un paquet 8 Poids du paquet 228 kg Plinthe carrelage assortie 8 x 307 cm 403187 Existe en anthracite gris et ivoire et en formats 307 x 307 cm 426 x 426 cm et 307 x 617 cm Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Konkrete gris anthracite l 307 cm x L 617 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-konkrete-gris-anthracite-l-307-cm-x-l-617-cm/prod51982/
,Carrelage de sol intrieur grs crame maill Konkrete gris de dimensions l 307 x L 617 cm adapt pour les pices vivre telles que la salle de bains la cuisine les chambres et toutes utilisations rsidentielles et commerciales Caractristiques Grs crame maill Coloris gris Dimensions l 307 x L 617 cm x p 74 mm Le carton de 152 m Nombre de faces 6 en mlange alatoire Nombre de carreaux dans un paquet 8 Poids du paquet 228 kg Plinthe assortie 8 x 307 cm 403189 Existe en anthracite gris et ivoire et en formats 307 x 307 cm 426 x 426 cm et 307 x 617 cm Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Konkrete gris l 307 x L 617 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-konkrete-gris-l-307-x-l-617-cm/prod51983/
,Carrelage sol intrieur modle Konkrete grs crame maill anthracite de dimensions 307 x 307 cm adapt pour les pices vivre telles que la salle de bains la cuisine les chambres et toutes utilisations rsidentielles et commerciales Caractristiques Grs crame maill Coloris anthracite Dimensions l 307 x L 307 cm x p 7 mm Nombre de faces 5 en mlange alatoire Nombre de carreaux dans un paquet 20 Poids du paquet 24 kg Plinthe carrelage assortie 8 x 307 cm 403187 Existe en anthracite gris et ivoire et en formats 307 x 307 cm 426 x 426 cm et 307 x 617 cm Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Konkrete gris anthracite l 307 x L 307 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-konkrete-gris-anthracite-l-307-x-l-307-cm/prod51979/
asp,Mosaque modle Parmia largeur 306 cm x Longueur 306 cm paisseur 4 mm Carreau de mosaque aspect verre Coloris blanc Finition brillante Prix de vente la pice,,,asp,Mosaque Parmia blanc l 306 x L 306 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-parmia-blanc-l-306-x-l-306-cm/prod51972/
asp,Mosaque modle Prate largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect verre Coloris blanc Finition brillante Prix de vente la pice,,,asp,Mosaque Prate blanc l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-prate-blanc-l-30-x-l-30-cm/prod51971/
asp,Mosaque modle Bressia largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect verre Coloris vert Finition brillant Prix de vente la pice,,,asp,Mosaque Bressia vert l 306 x L 306 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-bressia-vert-l-306-x-l-306-cm/prod51970/
asp,Mosaque modle Tarente largeur 30 cm x Longueur 30 cm paisseur 4 mm Carreau de mosaque aspect verre Coloris mix grisnoirblanc Finition brillant Prix de vente la pice,,,asp,Mosaque Tarente mix grisnoirblanc l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-tarente-mix-grisnoirblanc-l-30-x-l-30-cm/prod51969/
asp,Mosaque modle Cagliari largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect pierre et verre Coloris beige Finition mat et brillant Prix de vente la pice,,,asp,Mosaque Cagliari beige l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-cagliari-beige-l-30-x-l-30-cm/prod51968/
asp,Mosaque modle Mecine largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect verre Coloris beige Finition mat et brillant Prix de vente la pice,,,asp,Mosaque Mecine beige l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-mecine-beige-l-30-x-l-30-cm/prod51967/
asp,Mosaque modle Catane largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect pierre Coloris beige Finition mat Adapt la pose au sol et mur La pose au sol ne convient pas au chauffage au sol Prix de vente la pice,,,asp,Mosaque solmur Catane beige l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-solmur-catane-beige-l-30-x-l-30-cm/prod51966/
asp,Mosaque modle Barya largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect verre Coloris noir Finition brillant Prix de vente la pice,,,asp,Mosaque Barya noir l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-barya-noir-l-30-x-l-30-cm/prod51965/
asp,Mosaque modle Naplo largeur 30 cm x Longeur 304 cm paisseur 8 mm Carreau de mosaque aspect mtal Coloris gris Finition mat Prix de vente la pice,,,asp,Mosaque Naplo gris l 30 x L 304 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-naplo-gris-l-30-x-l-304-cm/prod51963/
asp,Mosaque modle Flourencia largeur 30 cm x Longueur 30 cm paisseur 4 mm Carreau de mosaque aspect verre Coloris noir finition mat et brillant Prix de vente la pice,,,asp,Mosaque Flourencia noir l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-flourencia-noir-l-30-x-l-30-cm/prod51964/
,Panneau contreplaqu 81 x 405 cm p 9 cm Idal pour le revtement de murs planchers toits travaux gnraux de construction et de rnovation intrieure Utilisation possible en extrieur si les surfaces et les bords ont t tanchifis Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Prdcoup contreplaqu 81 X 405 cm p 9 mm Brico Dpt,https://www.bricodepot.fr/catalogue/predecoupe-contreplaque-81-x-405-cm-ep-9-mm/prod51945/
asp,Mosaque modle Milaino largeur 30 cm x Longueur 30 cm paisseur 8 mm Carreau de mosaque aspect verre Coloris noir Finition brillante Prix de vente la pice,,,asp,Mosaque Milaino noir l 30 x L 30 cm Brico Dpt,https://www.bricodepot.fr/catalogue/mosaique-milaino-noir-l-30-x-l-30-cm/prod51962/
,Panneau contreplaqu 122 x 61 cm p 9 mm Idal pour le revtement de murs planchers toits travaux gnraux de construction et de rnovation intrieure Utilisation possible en extrieur si les surfaces et les bords ont t tanchifis Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Panneau prdcoup contreplaqu 122 x 61 cm p 9 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-predecoupe-contreplaque-122-x-61-cm-ep-9-mm/prod51941/
asp,Le contreplaqu un matriau rsistant et facile travailler Le panneau contreplaqu se compose dun assemblage de fines feuilles en bois et sutilisera aussi bien pour vos travaux de construction que de rnovation Cest un matriau qui a le vent en poupe car sa lgret et sa flexibilit le rendent facile travailler Ainsi il permet de raliser des formes courbes De plus il rsiste aussi bien la chaleur qu lhumidit sans se dformer Il est galement apprci pour son esthtisme notamment en dcoration Un panneau contreplaqu multiusage Grce ses performances le contreplaqu sutilise couramment dans le btiment comme lment de structure ou de faade par exemple pour la charpente ou le toit Pour un usage extrieur veillez toutefois tanchifier les bords et les surfaces de votre panneau lintrieur de votre logement ce matriau revtira vos murs ou vous servira crer votre plancher Son aspect trs esthtique vous permettra galement de fabriquer des meubles sur mesure comme des caissons de cuisine des tagres ou encore un dressing De plus grce sa couleur bois il sintgrera toutes les pices quel que soit le style de dcoration Et si vous avez besoin de faire des dcoupes sachez que la scie circulaire est loutil adapt Dimensions Longueur 244 cm x Largeur 122 cm x paisseur 12 mm Matriau Contreplaqu Usage Revtement de murs planchers toits pour construction ou rnovation Panneau tanchifier surfaces et bords pour un usage extrieur Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,,,asp,Panneau contreplaqu L 244 X l 122 cm x p 12 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-contreplaque-l-244-x-l-122-cm-x-ep-12-mm/prod51937/
asp,Le panneau contreplaqu rsistant et multiusage Le panneau contreplaqu est fabriqu partir de minces lamelles de bois colles et presses les unes contre les autres Il a fait sa place sur le march de la construction et de lamnagement grce ses nombreux avantages Sa composition fils croiss lui assure isotropie homognit souplesse stabilit et rsistance au feu et leau Contrairement au bois il ne subit pas de dformation au contact de leau ou lors de variations de temprature Vous pourrez donc utiliser le panneau contreplaqu de mille manires de la construction lagencement intrieur en passant par la charpente ou mme la construction en milieu marin Le panneau contreplaqu conomique et facile travailler Le panneau contreplaqu cote beaucoup moins cher que le bois massif pour une rsistance accrue et un poids moindre Grce sa structure rsistante vous pourrez le travailler sans risque dclatement lors de vos travaux dusinage de dcoupe de perage ou de fixation Sa souplesse permet mme de crer des formes courbes pour des meubles par exemple Aprs ponage le panneau contreplaqu accepte tous types de finitions peinture vernis ou encore huile de lin vous de choisir lusage et laspect de votre panneau contreplaqu Coloris Bois Matire contreplaqu avec faces externes en Eucalyptus et la couche centrale en peuplier Dimensions Longueur 2 440 mm x Largeur 1 220 mm x paisseur 9 mm Usages Revtement de murs planchers toits travaux gnraux de construction Usage possible en extrieur si les surfaces et les bords ont t tanchifis Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,asp,Panneau contreplaqu L 122 x l 244 cm x p 9 mm Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-contreplaque-l-122-x-l-244-cm-x-ep-9-mm/prod51936/
